,0
61,여자아이 머리묶기 넘 힘들어요.. 오너가 어찌나 까다로우신지.... 요구사항이 아주 디테일하면서도 뭔지 모르겠어요;;;; 여자아이 머리스타일 아이디어 고갈이네요. 새로운 아이디어 있으신 분 도와주세요~~~~
62,그래도 주 수업 중에 주만 하기로 해서 부담은 조금 덜한데 문제는 이미 년이나 해서 학기째인 지금은 아이디어 고갈 상태라는 점입니다. 누가 올지도 모르는 상태이고 학생들마다 선호하는 내용도... 
63,"음, 이 아이디어라는 게 참, 고갈될 수가 없는 거 아니겠습니까. 이런저런 경우의 수를 생각해보면.. 도저히 끝이 날 수가 없는거죠. 무시무시 하다니까요. 스스로 뭔가 음악은 이래야된다는 틀을 만들어서 그... "
64,어어....아이디어고갈이닷..아이디어 썰 올려주시고 링크주시면 그거 연성해드릴게요!!
65,"일단 이 영화는 적어도 초반부는 어느 정도 웃기는 영화인데, 후반으로 다가서면서 아이디어가 고갈나는지 스스로 자신을 복제한다. 결국 앞에서 웃겼던 행동을 똑같이 반복하니 후반으로 갈 수록 지루해져만... "
66,하지만 아이디어 고갈의 압박에서 벗어날 수 있는 가장 좋은 방법을 묵혀두는 게 현명한지 궁금하다. 그렇다고  제작진이 뛰어난 창의력으로 빛나는 사람들로 구성된 것도 아니고 사실상 그 정 반대인... 
67,으허허 안그래도 요즘에 CD 앞 라벨 만드는거 아이디어 고갈되가지고 진짜 곤욕 치르는뎅; 오늘은 뭐 거의 분 분 만에 후딱 만들어서 언능 보내야 한다고 하도냥 재촉을 하셔서; 진짜 암울했는뎅; 그래도... 
68,달팽이그리기 페이지 정도 하니 이제 다른게임을 하자고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 전 이미 아이디어 고갈... 그래서 시작된 동물그리기게임.. 무조건 뒤에 &quot;게임&quot;이라는 단어를 붙여야 해요. 아이가 게임을... 
69,() .. &lt;밥.먹.자&gt; - 고추장볶음밥 : 진짜 요리 아이디어 고갈일 때! () .. &lt;밥.먹.자&gt; - 크로크무슈 : 버섯크림파스타 맛이 나는 토스트(가 원래 아닌데...) () .. &lt;밥.먹.자&gt; - 롤캐비지 : 양배추... 
70,오늘은 여러 생각 끝에 더숲에서 나온 『아이디어가 고갈된 디자이너를 위한 책 : 그래픽 디자인 편』책 중에서 몇 가지 개념을 소개해드리려고 합니다. 종이를 자르고 붙여서 작품을 만드는 것은 어린아이들이... 
71,"오늘은 『아이디어가 고갈된 디자이너를 위한 책』이라는 책을 소개해드리려고 해요~ 저자 스티븐 헬러와 게일 앤더슨에 대한 소개를 간단히 해드리자면, 스티븐 헬러는 년간 &lt;뉴욕타임스&gt;의 아트 디렉터를... "
72,"아이디어가 고갈된 디자이너를 위한 책 - 그래픽 디자인 편 스티븐 헬러(Steven Heller), 게일 앤더슨, 홍주연  도서출판더숲   평점 상세내용보기  리뷰 더 보기  관련 테마보기 아이디어가 고갈된... "
73,"전 제발 그러지 않기를 바라지만 아이디어 고갈이거나 매너리즘이 아니라고 가정할 때, 정말 안좋게 표현하면 '헤기라는 미소년 마공캐가 수요가 있으니까 급하게라도 만들어서 한탕 해보자. 카록개편? 뒤로... "
74,디자인프레스 X 도서출판 더숲 &lt;아이디어가 고갈된 디자이너를 위한 책 : 로고 디자인 편 &gt; 증정 이벤트 [응모방법] 공개 댓글로 책을 받고 싶은 이유를 적어주세요. 추첨을 통해 선정된 분께 따끈따끈한... 
75,(별로인 듯 해보이지만 작품이 나에게 주는 느낌은 훨씬 다르게 다가왔다. 지금까지 아이디어가 떠오르지 않는 사람들에게 도움이 되는 책 '아이디어가 고갈된 디자이너를 위한 책_일러스트레이션 편'이었다.
76,&lt;지금은 아이디어 고갈 상태입니다&gt; 사진 : http:shop.h-concept.jp AND 디자인올림픽(나의카메라) 디자인 올림픽에 가서 탄성 했던 그 핀이야 말로 내가 원하던 yo - 아이디어 팡팡... 
